Country,Location,Suicides,Temperature
Brazil,Belo Horizonte,843,22
Brazil,Brasilia,622,21.3
Brazil,Campo Grande,266,25.8
Brazil,Curitiba,635,17.6
Brazil,Fortaleza,886,27
Brazil,Maceio,169,24.9
Brazil,Manaus,442,27.1
Brazil,Natal,140,19.7
Brazil,Porto Alegre,800,19.7
Brazil,Salvador,178,25.7
Brazil,Sao Paulo,3301,20.3
Brazil,Teresina,301,27.6
Brazil,Vitoria,218,26.8
Canada,Abbotsford,253,10.7
Canada,Calgary,1656,4.6
Canada,Edmonton,2290,4.8
Canada,Halifax,566,6.4
Canada,Hamilton,536,7.9
Canada,Kingston,313,7.4
Canada,Kitchener - Waterloo,426,7.1
Canada,London,581,8
Canada,Montreal,4022,6.7
Canada,Niagara,621,9.1
Canada,Oakville,384,8.3
Canada,Oshawa,453,7.6
Canada,Ottawa,1281,6.4
Canada,Regina,426,3.4
Canada,Saint John NB,276,5.1
Canada,Sarnia,179,8.7
Canada,Saskatoon,456,2.7
Canada,Sault Ste. Marie,218,4.9
Canada,St. John NFL,275,4.8
Canada,Sudbury,429,4.1
Canada,Thunder bay,328,2.9
Canada,Toronto,4896,8.1
Canada,Vancouver,2450,10.6
Canada,Victoria,496,10.2
Canada,Windsor,524,9.9
Canada,Winnipeg,1284,3.1
Japan,Aichi,46915,15.7
Japan,Akita,15016,11.7
Japan,Aomori,14835,10.3
Japan,Chiba,37585,15.7
Japan,Ehime,12820,16.3
Japan,Fukui,6305,14.5
Japan,Fukuoka,39820,16.9
Japan,Fukushima,17515,13
Japan,Gifu,16552,15.8
Japan,Gunma,17283,14.5
Japan,Hiroshima,21819,15.9
Japan,Hokkaido,47342,8.8
Japan,Hyogo,42307,16.3
Japan,Ibaraki,21673,13.6
Japan,Ishikawa,8731,14.6
Japan,Iwate,16034,10.2
Japan,Kagawa,7786,16.1
Japan,Kagoshima,16712,18.3
Japan,Kanagawa,52862,15.7
Japan,Kochi,8019,16.9
Japan,Kumamoto,15142,16.8
Japan,Kyoto,19373,15.8
Japan,Mie,12964,15.8
Japan,Miyagi,17308,12.4
Japan,Miyazaki,11839,17.5
Japan,Nagano,17761,11.9
Japan,Nagasaki,12655,17.1
Japan,Nara,9058,14.8
Japan,Niigata,26981,13.8
Japan,Oita,10164,16.3
Japan,Okayama,13825,15.9
Japan,Okinawa,10063,22.9
Japan,Osaka,68076,16.8
Japan,Saga,6958,16.5
Japan,Saitama,45259,14.9
Japan,Shiga,8977,14.6
Japan,Shimane,8270,14.8
Japan,Shizuoka,25607,16.5
Japan,Tochigi,16532,13.7
Japan,Tokushima,6315,16.5
Japan,Tokyo,87045,16.2
Japan,Tottori,5156,14.8
Japan,Toyama,10355,14
Japan,Wakayama,9975,16.6
Japan,Yamagata,11630,11.7
Japan,Yamaguchi,13966,15.3
Japan,Yamanashi,7161,14.6
South Korea,Busan,16111,14.9
South Korea,Daegu,9637,14.4
South Korea,Daejeon,5812,13
South Korea,Gwangju,4913,14
South Korea,Incheon,11535,12.4
South Korea,Seoul,35817,12.8
Philippines,Cebu,254,28
Philippines,Davao,214,28.3
Philippines,Manila,509,28.6
Philippines,Quezon,290,27.4
South Africa,Alfred Nzo,89,16.6
South Africa,Amathole,200,17.9
South Africa,Bojanala,69,18.7
South Africa,Buffalo City,37,12.4
South Africa,Cape Winelands,85,15.8
South Africa,Capricorn,30,19.3
South Africa,Chris Hani,59,15.6
South Africa,City of Cape Town,439,17.8
South Africa,City of Johannesburg,74,16.5
South Africa,City of Tshwane,117,16.1
South Africa,Dr Kenneth Kaunda,60,18.2
South Africa,Dr Ruth Segomotsi Mompati,35,20
South Africa,Eden,174,17.7
South Africa,Ehlanzeni,255,20.4
South Africa,Ekurhuleni,49,16.3
South Africa,Frances Baard,135,18.9
South Africa,Gert Sibande,197,16.4
South Africa,Joe Gqabi,45,16
South Africa,Lejweleputswa,130,17.1
South Africa,Mangaung,113,16.6
South Africa,Mopani,293,21.7
South Africa,Namakwa,47,18.8
South Africa,Nelson Mandela Bay,149,17.7
South Africa,Ngaka Modiri Molema,240,19.8
South Africa,Nkangala,65,16.1
South Africa,O. R. Tambo,59,17.1
South Africa,Overberg,73,16.9
South Africa,Pixley ka Seme,77,18.1
South Africa,Sisonke,326,14.2
South Africa,Siyanda,312,20.6
South Africa,Thabo Mofutsanyane,46,14.9
South Africa,Ugu,110,21.2
South Africa,West Coast,38,19.2
South Africa,eThekwini,96,21.5
South Africa,uMgungundlovu,175,14.1
South Africa,uMkhanyakude,90,22.5
South Africa,uMzinyathi,208,16.1
South Africa,uThukela,58,15.6
South Africa,uThungulu,274,22.7
Spain,A Coruna,532,15
Spain,Albacete,227,14.5
Spain,Alicante,585,18.4
Spain,Almeria,321,19.1
Spain,Avila,63,11.2
Spain,Badajoz,141,17.2
Spain,Barcelona,2578,16.4
Spain,Bilbao,662,14.8
Spain,Burgos,308,10.9
Spain,Caceres,99,16.4
Spain,Cadiz,242,18.6
Spain,Castellon,317,17.8
Spain,Ciudad Real,88,15.8
Spain,Cordoba,489,18.3
Spain,Cuenca,87,13.4
Spain,Girona,117,15
Spain,Granada,520,21.3
Spain,Guadalajara,94,13.4
Spain,Huelva,186,18.3
Spain,Huesca,103,14.2
Spain,Jaen,233,17
Spain,Palmas G. Canaria,671,21.3
Spain,Leon,223,11.1
Spain,Lleida,238,15.2
Spain,Logrono,296,14.1
Spain,Lugo,228,12.1
Spain,Madrid,2180,15.2
Spain,Malaga,1113,18.7
Spain,Palma Mallorca,553,16.8
Spain,Melilla,66,19.1
Spain,Murcia,585,18.8
Spain,Ourense,233,15.1
Spain,Oviedo,517,13.3
Spain,Pamplona,413,13.1
Spain,Pontevedra,133,14.8
Spain,Salamanca,242,12.3
Spain,San Sebastian,344,13.7
Spain,Santander,207,14.6
Spain,Segovia,78,12.4
Spain,Sevilla,1173,19.5
Spain,Soria,105,11.1
Spain,Tarragona,226,17.9
Spain,Tenerife,337,21.6
Spain,Teruel,67,12.3
Spain,Toledo,82,16
Spain,Valencia,1458,18.5
Spain,Valladolid,605,12.9
Spain,Vitoria,447,11.9
Spain,Zamora,110,13.3
Spain,Zaragoza,1076,15.7
